24	40
25	188
26	274
27	350
28	404
29	485
30	534
31	562
32	636
33	680
34	745
35	4408
36	4398
37	4430
38	4488
39	4606
40	4850
41	5102
42	5254
43	5096
44	4964
45	5011
46	5186
47	5495
48	5867
49	6266
50	6673
51	7053
52	7443
53	7641
54	7470
55	7275
56	7188
57	7134
58	7092
59	7016
60	6920
61	6738
62	6559
63	6314
64	5988
65	5700
66	5545
67	5484
68	5450
69	5426
70	5368
71	5375
72	5497
73	5603
74	5416
75	5105
76	4899
77	4771
78	4785
79	4900
80	5024
81	5174
82	5524
83	6049
84	5980
85	5356
86	4771
87	4467
88	4392
89	4484
90	4736
91	4926
92	5212
93	5697
94	6107
95	6082
96	5553
97	5056
98	4910
99	5019
100	5256
101	5495
102	5688
103	5834
104	5903
105	5857
106	5750
107	5591
108	5503
109	5520
110	5602
111	5739
112	5900
113	6150
114	6436
115	6411
116	6087
117	5761
118	5695
119	5872
120	6266
121	6818
122	7510
123	8599
124	10239
125	11729
126	11889
127	10597
128	9081
129	8423
130	9137
131	10233
132	11749
133	13449
134	15509
135	18050
136	20424
137	21329
138	20651
139	19802
140	20508
141	22898
142	26044
143	29472
144	32193
145	33250
146	32989
147	32499
148	32356
149	32451
150	32847
151	33823
152	35174
153	36540
154	37870
155	39390
156	40692
157	41439
158	42278
159	43787
160	45960
161	48480
162	51254
163	54239
164	57382
165	60135
166	61647
167	61555
168	59585
169	56162
170	52123
171	48072
172	44464
173	42054
174	40625
175	39595
176	38413
177	36376
178	33441
179	30227
180	27187
181	24490
182	22338
183	20612
184	19199
185	18081
186	17163
187	16285
188	15352
189	14333
190	13248
191	12200
192	11244
193	10419
194	9701
195	9092
196	8571
197	8121
198	7701
199	7277
200	6846
201	6402
202	5970
203	5580
204	5226
205	4904
206	4620
207	4361
208	4119
209	3886
210	3660
211	3431
212	3213
213	3006
214	2813
215	2636
216	2480
217	2335
218	2203
219	2078
220	1967
221	1868
222	1774
223	1676
224	1584
225	1489
226	1402
227	1319
228	1252
229	1191
230	1146
231	1116
232	1091
233	1060
234	1017
235	962
236	909
237	861
238	821
239	790
240	770
241	761
242	761
243	765
244	762
245	744
246	717
247	688
248	662
249	638
250	622
251	614
252	615
253	622
254	632
255	636
256	628
257	616
258	600
259	585
260	570
261	563
262	566
263	579
264	598
265	610
266	615
267	613
268	609
269	608
270	608
271	615
272	638
273	676
274	710
275	728
276	727
277	716
278	711
279	712
280	723
281	748
282	788
283	842
284	903
285	956
286	981
287	989
288	995
289	1014
290	1049
291	1094
292	1139
293	1184
294	1227
295	1273
296	1325
297	1379
298	1438
299	1505
300	1567
301	1610
302	1625
303	1626
304	1630
305	1653
306	1693
307	1744
308	1809
309	1876
310	1936
311	1974
312	1967
313	1926
314	1883
315	1862
316	1850
317	1843
318	1842
319	1841
320	1843
321	1841
322	1834
323	1829
324	1820
325	1810
326	1798
327	1775
328	1755
329	1735
330	1720
331	1711
332	1705
333	1701
334	1691
335	1683
336	1672
337	1657
338	1638
339	1618
340	1606
341	1578
342	1569
343	1551
344	1541
345	1534
346	1518
347	1504
348	1486
349	1467
350	1444
351	1426
352	1406
353	1388
354	1375
355	1357
356	1341
357	1324
358	1303
359	1282
360	1260
361	1234
362	1210
363	1185
364	1162
365	1137
366	1113
367	1087
368	1064
369	1039
370	1015
371	988
372	961
373	933
374	906
375	877
376	849
377	821
378	796
379	770
380	745
381	721
382	697
383	673
384	650
385	625
386	601
387	576
388	554
389	533
390	512
391	493
392	475
393	459
394	442
395	424
396	407
397	389
398	373
399	358
400	343
401	329
402	316
403	306
404	296
405	286
406	275
407	265
408	255
409	245
410	235
411	227
412	219
413	213
414	208
415	202
416	196
417	190
418	185
419	180
420	174
421	168
422	165
423	162
424	158
425	155
426	152
427	149
428	147
429	144
430	142
431	139
432	138
433	138
434	138
435	139
436	139
437	138
438	137
439	134
440	131
441	129
442	128
443	128
444	129
445	130
446	132
447	134
448	134
449	133
450	130
451	129
452	130
453	133
454	137
455	141
456	144
457	144
458	142
459	139
460	136
461	135
462	134
463	134
464	136
465	137
466	138
467	138
468	138
469	136
470	133
471	132
472	131
473	133
474	135
475	135
476	136
477	136
478	136
479	137
480	137
481	137
482	139
483	140
484	141
485	142
486	143
487	144
488	145
489	146
490	145
491	145
492	145
493	146
494	146
495	147
496	147
497	148
498	148
499	149
500	150
